,year_id,month_id,cty_cd,旅客量,客座率
360,2016,4,CCC,760806,0.8631946
361,2015,1,EEE,1871002,0.8095610000000001
362,2016,2,MMM,709755,0.8217542
363,2016,10,EEE,2217239,0.8545718
364,2016,6,HHH,598620,0.8780716
365,2015,12,PPP,795914,0.920223
366,2017,6,EEE,2083632,0.8575492
367,2015,4,UUU,801638,0.7716602
368,2016,7,MMM,697140,0.799524
369,2015,1,DDD,1270830,0.843295
370,2016,3,AAA,3520518,0.8127866
371,2017,5,RRR,1983159,0.8544454
372,2016,6,XXX,560304,0.8616158
373,2016,9,SSS,1629739,0.8311478
374,2017,6,MMM,787412,0.8323254
375,2015,9,TTT,1074749,0.8292569999999999
376,2016,10,UUU,872334,0.8003844
377,2017,12,FFF,1473708,0.8691334
378,2015,10,UUU,800655,0.7641832000000001
379,2016,4,UUU,837598,0.7967866
380,2015,10,EEE,2067652,0.8518658
381,2015,2,TTT,882098,0.8475806
382,2017,4,XXX,785985,0.8447814
383,2015,8,FFF,1354491,0.8959980000000001
384,2017,12,AAA,3763312,0.8127135999999999
385,2015,10,MMM,709593,0.834
386,2015,4,RRR,1574572,0.862799
387,2015,8,NNN,885194,0.8442265999999999
388,2015,12,GGG,1027872,0.8179027999999999
389,2015,11,XXX,789424,0.9064942
390,2015,2,DDD,1387365,0.8826082
391,2017,9,YYY,941333,0.8475155999999999
392,2016,7,ZZZ,830953,0.8414142
393,2015,7,UUU,847305,0.7933756000000001
394,2016,12,HHH,644527,0.8513796
395,2015,6,XXX,458762,0.856316
396,2015,3,AAA,3721239,0.849016
397,2016,5,YYY,763848,0.8303463999999999
398,2017,6,KKK,721718,0.8574151999999999
399,2017,7,FFF,1556140,0.8774648
400,2016,6,FFF,1245722,0.8559036
401,2016,12,YYY,734930,0.8142864000000001
402,2017,4,AAA,3291602,0.8449434
403,2016,4,TTT,1003115,0.8709264
404,2016,5,AAA,3600992,0.8224402
405,2017,6,CCC,822986,0.860185
406,2015,2,EEE,2017402,0.8233018
407,2015,1,JJJ,485104,0.7588068
408,2016,10,CCC,829029,0.8847018
409,2015,1,RRR,1467380,0.8201318
410,2017,8,MMM,873227,0.889903
411,2015,12,UUU,726237,0.7275606
412,2015,9,AAA,3454789,0.8265054
413,2017,12,SSS,1711342,0.8212377999999999
414,2016,3,DDD,1555787,0.8740252000000001
415,2015,1,AAA,3153813,0.7539804
416,2016,1,NNN,687705,0.8047008
417,2016,10,HHH,623168,0.8161233999999999
418,2015,2,FFF,1283728,0.9267568
419,2016,9,NNN,931854,0.895099
420,2015,5,MMM,649428,0.826266
421,2015,11,ZZZ,583086,0.8222079999999999
422,2016,12,JJJ,652718,0.7901938000000001
423,2015,8,MMM,742268,0.8868488
424,2016,5,CCC,749669,0.8584648
425,2017,9,RRR,1816160,0.8775956
426,2017,10,HHH,705143,0.8109764
427,2015,11,SSS,1555259,0.8469192
428,2017,1,RRR,1938257,0.8972676
429,2016,5,SSS,1508753,0.8276884
430,2015,12,TTT,964597,0.8148650000000001
431,2015,7,FFF,1148213,0.8373872
432,2017,4,CCC,826308,0.8712876
433,2016,4,NNN,778169,0.8405393999999999
434,2017,9,ZZZ,950758,0.8762286
435,2017,12,RRR,2096025,0.859049
436,2016,4,FFF,1362198,0.8623346
437,2015,6,KKK,453243,0.8282594
438,2017,12,EEE,2416344,0.8359084
439,2017,8,PPP,709578,0.8952822
440,2017,2,RRR,1892537,0.859383
441,2016,4,AAA,3651728,0.845779
442,2016,3,RRR,1742039,0.843654
443,2017,9,EEE,2294062,0.8156254000000001
444,2015,5,SSS,1306150,0.8132088
445,2016,2,WWW,3101089,0.8080028
446,2016,9,XXX,602586,0.8533084
447,2015,4,NNN,697951,0.8348367999999999
448,2016,12,TTT,1098968,0.832202
449,2015,8,JJJ,791000,0.8484302
450,2015,11,DDD,1490436,0.8546976
451,2017,5,YYY,936006,0.8197852
452,2016,6,KKK,576955,0.8355734
453,2015,6,TTT,977748,0.8260938
454,2016,11,KKK,577407,0.8225268
455,2015,1,WWW,2598876,0.7595788
456,2015,2,PPP,829608,0.8946624
457,2017,11,ZZZ,884882,0.8531846
458,2015,12,KKK,506044,0.7978638
459,2017,12,MMM,816581,0.8270451999999999
460,2017,1,MMM,837578,0.8379304
461,2017,3,WWW,3410792,0.8311812
462,2015,2,YYY,606408,0.8430354
463,2017,5,PPP,659054,0.8371803999999999
464,2015,7,PPP,572728,0.8879304
465,2015,11,MMM,627650,0.8048052
466,2015,4,GGG,1104085,0.8745346
467,2017,11,SSS,1854227,0.8545322
468,2016,12,EEE,2219219,0.8098846000000001
469,2017,4,EEE,2213000,0.8256709999999999
470,2016,12,UUU,814114,0.786679
471,2015,12,ZZZ,600010,0.8182994
472,2017,12,TTT,1208495,0.839082
473,2016,8,TTT,1284972,0.8503058
474,2016,11,RRR,1741796,0.8548702
475,2016,2,NNN,717798,0.838055
476,2017,5,CCC,879674,0.861646
477,2017,2,HHH,700926,0.8637872
478,2015,11,NNN,646133,0.7967104
479,2016,2,EEE,2088572,0.8444912
480,2015,3,WWW,3258092,0.8444942
481,2016,9,ZZZ,804735,0.867099
482,2017,3,EEE,2385431,0.8292613999999999
483,2015,4,DDD,1366567,0.8699456
484,2017,10,UUU,987683,0.8393069999999999
485,2016,1,ZZZ,659049,0.8399498
486,2017,9,WWW,3441082,0.8026802000000001
487,2017,9,GGG,1693947,0.8717148
488,2016,5,NNN,743275,0.8306836
489,2016,6,YYY,765162,0.8271668
490,2015,11,FFF,1236935,0.8307372
491,2016,9,RRR,1867113,0.904823
492,2015,8,HHH,584370,0.8590426
493,2015,10,SSS,1548284,0.868066
494,2015,7,CCC,686544,0.8450774
495,2017,9,FFF,1430922,0.8660658
496,2015,2,CCC,675418,0.8655024
497,2017,7,PPP,671488,0.8977416
498,2015,8,YYY,816641,0.8742872
499,2015,11,GGG,1100176,0.8242866
500,2017,8,CCC,945407,0.904002
501,2015,3,NNN,736423,0.8768398
502,2015,12,XXX,866067,0.9033448000000001
503,2015,10,ZZZ,652287,0.8397484
504,2015,12,HHH,561871,0.8357517999999999
505,2016,10,ZZZ,835870,0.8669212
506,2017,3,CCC,805887,0.8886082
507,2017,7,GGG,1555683,0.8546062
508,2017,1,AAA,3625902,0.8110976000000001
509,2016,12,XXX,931838,0.8868466
510,2017,10,SSS,1994889,0.868143
511,2016,3,FFF,1117220,0.8200691999999999
512,2016,3,NNN,718554,0.837398
513,2016,9,DDD,1409372,0.8549599999999999
514,2017,3,SSS,1783869,0.834467
515,2016,8,AAA,3977418,0.8821656
516,2016,2,SSS,1496842,0.85975
517,2017,10,KKK,847218,0.86697
518,2015,4,JJJ,621157,0.8308139999999999
519,2016,9,TTT,1067967,0.8933574
520,2016,1,TTT,979447,0.7849648
521,2017,2,NNN,755489,0.8705662
522,2015,12,WWW,2952115,0.7622348
523,2016,12,PPP,855750,0.906385
524,2015,2,UUU,807078,0.8132957999999999
525,2015,11,AAA,3379463,0.8068612000000001
526,2015,9,JJJ,671765,0.7902388
527,2017,3,RRR,1949852,0.8501953999999999
528,2016,10,KKK,660999,0.8528892
529,2016,9,EEE,2097034,0.8252548
530,2015,3,XXX,816552,0.877552
531,2017,11,WWW,3570722,0.8323676
532,2016,7,CCC,811697,0.8541955999999999
533,2017,5,DDD,1789240,0.8248772
534,2016,11,NNN,691042,0.8171486
535,2015,11,YYY,646515,0.8061706000000001
536,2017,5,TTT,1328470,0.850807
537,2016,7,KKK,603496,0.8421333999999999
538,2015,2,MMM,688358,0.854658
539,2015,12,FFF,1246610,0.8225794
540,2017,2,GGG,1331878,0.8782844
541,2017,1,CCC,796408,0.8743029999999999
542,2017,11,TTT,1375387,0.8586268
543,2016,2,AAA,3485162,0.8205817999999999
544,2017,4,RRR,1758859,0.8738758
545,2017,9,KKK,800929,0.8381727999999999
546,2015,1,YYY,544748,0.783261
547,2017,12,CCC,826004,0.854656
548,2017,12,KKK,781021,0.8464816
549,2016,9,FFF,1425854,0.884881
550,2016,6,MMM,667466,0.8203294
551,2017,7,UUU,933988,0.8031062000000001
552,2015,10,WWW,3344863,0.8212862
553,2015,3,KKK,486011,0.881928
554,2017,4,ZZZ,875694,0.8968448
555,2017,5,GGG,1587802,0.868453
556,2017,10,YYY,936581,0.8582486
557,2015,3,JJJ,613470,0.8466899999999999
558,2016,12,KKK,578436,0.8193961999999999
559,2015,6,SSS,1409101,0.806509
560,2016,11,DDD,1708480,0.8713632
561,2017,2,EEE,2372905,0.8894828
562,2015,7,NNN,840560,0.8484718
563,2015,8,UUU,880062,0.8207093999999999
564,2017,4,SSS,1722136,0.8363198
565,2015,11,CCC,636616,0.8259004
566,2017,3,PPP,814781,0.8727174
567,2017,3,XXX,954767,0.8673586
568,2017,8,WWW,3556120,0.8625468
569,2015,9,HHH,524051,0.8373187999999999
570,2016,11,TTT,1100365,0.8452415999999999
571,2017,11,UUU,968798,0.822392
572,2017,10,XXX,892204,0.9094744
573,2016,3,MMM,691380,0.8320676
574,2017,5,FFF,1441740,0.8742688
575,2017,3,GGG,1569195,0.8799668
576,2016,9,PPP,600389,0.8563524
577,2015,10,YYY,742478,0.8638492
578,2017,12,UUU,934064,0.8098564
579,2015,3,UUU,801850,0.7831652
580,2015,4,FFF,1070514,0.869092
581,2016,12,DDD,1586683,0.8564807999999999
582,2017,5,AAA,3565743,0.8217439999999999
583,2015,7,YYY,730364,0.8222725999999999
584,2015,12,SSS,1444294,0.8122008000000001
585,2016,3,JJJ,642112,0.8002932
586,2015,11,TTT,984114,0.8142952
587,2015,9,GGG,1257375,0.852764
588,2015,5,RRR,1561627,0.8409586
589,2016,5,EEE,2047705,0.8122332000000001
590,2017,11,KKK,818017,0.8457486
591,2016,9,YYY,869262,0.8439608
592,2017,2,SSS,1643698,0.8868328
593,2016,1,YYY,667958,0.788377
594,2015,7,XXX,516118,0.9019866
595,2015,8,SSS,1550596,0.86836
596,2017,2,CCC,752994,0.8779824
597,2017,5,XXX,752527,0.8248333999999999
598,2017,7,JJJ,973401,0.8502588
599,2016,11,JJJ,663082,0.7976096
600,2016,12,MMM,738078,0.8240837999999999
601,2015,10,HHH,527344,0.7940648
602,2015,6,UUU,744689,0.7730936
603,2016,4,XXX,634909,0.8337072
604,2015,11,UUU,761942,0.7694030000000001
605,2017,12,DDD,1723550,0.8314222
606,2016,6,ZZZ,670703,0.8461978
607,2017,9,DDD,1716579,0.8124243999999999
608,2015,6,FFF,1167061,0.8511458
609,2016,8,WWW,3682749,0.8534648
610,2016,7,DDD,1889353,0.878669
611,2016,3,HHH,589309,0.8089466000000001
612,2017,12,GGG,1440730,0.842278
613,2015,7,KKK,533389,0.8384963999999999
614,2017,8,JJJ,1070998,0.8757754
615,2017,8,ZZZ,979664,0.9195334000000001
616,2015,5,AAA,3567873,0.8228397999999999
617,2015,12,YYY,622805,0.7968700000000001
618,2017,10,MMM,841591,0.849631
619,2015,10,KKK,550636,0.8410536
620,2016,5,FFF,1346799,0.8427662
621,2015,2,JJJ,490411,0.7988908
622,2015,6,NNN,726399,0.8415052
623,2017,11,PPP,831463,0.9087204
624,2017,11,HHH,696887,0.8227559999999999
625,2017,5,KKK,776580,0.8492976
626,2016,5,GGG,1352587,0.8520818
627,2015,5,HHH,479217,0.8497005999999999
628,2017,7,HHH,749143,0.8642474
629,2017,2,YYY,783714,0.8947614
630,2016,8,NNN,959868,0.8700716
631,2017,4,GGG,1520359,0.8851992
632,2015,10,RRR,1720574,0.8853568
633,2016,3,YYY,722065,0.845984
634,2015,2,KKK,431447,0.8546954
635,2016,9,CCC,783518,0.8783526
636,2016,4,JJJ,719112,0.838607
637,2015,7,RRR,1612244,0.875756
638,2017,8,SSS,1735308,0.8774916
639,2017,2,AAA,3657863,0.8798082
640,2015,9,DDD,1304249,0.838255
641,2016,4,ZZZ,735644,0.8628088
642,2017,3,TTT,1278753,0.8749858
643,2016,12,WWW,3229163,0.7826792
644,2017,1,NNN,744002,0.824329
645,2017,10,TTT,1407156,0.8819444
646,2016,4,EEE,2006193,0.8275328
647,2017,9,AAA,3860972,0.8100556
648,2017,8,DDD,1852991,0.8537464
649,2015,9,CCC,640133,0.8360624
650,2017,8,TTT,1457677,0.8970676
651,2015,3,YYY,660779,0.8729152
652,2016,5,XXX,581494,0.8286726
653,2016,11,GGG,1348050,0.8374349999999999
654,2016,7,RRR,1845641,0.884158
655,2016,6,WWW,3051170,0.8161746
656,2015,9,SSS,1364978,0.783437
657,2015,9,KKK,516698,0.8393818
658,2017,5,UUU,890197,0.7969434000000001
659,2015,7,EEE,1980667,0.8041786000000001
660,2015,1,SSS,1359304,0.7984802000000001
661,2015,5,WWW,3067021,0.8009480000000001
662,2017,7,NNN,982185,0.8655115999999999
663,2015,1,ZZZ,543067,0.8274296
664,2017,10,ZZZ,980778,0.8755306
665,2015,5,NNN,711761,0.8436968
666,2016,2,JJJ,590515,0.7944150000000001
667,2017,3,JJJ,748520,0.8343729999999999
668,2017,2,WWW,3290873,0.8721578
669,2016,8,XXX,651557,0.885357
670,2016,9,MMM,732102,0.8547857999999999
671,2015,3,PPP,791039,0.8857696
672,2015,3,HHH,512311,0.8231204
673,2015,10,DDD,1434938,0.8725444
674,2016,9,UUU,782475,0.7652746
675,2017,3,AAA,3734544,0.8393959999999999
676,2016,4,GGG,1382752,0.870529
677,2017,1,KKK,610945,0.8099204000000001
678,2015,6,JJJ,644047,0.813201
679,2016,5,JJJ,701606,0.801528
680,2017,1,SSS,1577063,0.7929614
681,2016,10,XXX,702161,0.9130288000000001
682,2017,10,AAA,3998291,0.8428992
683,2016,12,RRR,1865533,0.8403898
684,2015,5,UUU,764073,0.7510286
685,2015,3,SSS,1583912,0.8636808
686,2015,12,MMM,615427,0.8010182
687,2015,11,RRR,1352801,0.8537056
688,2016,8,KKK,670098,0.8886034
689,2017,7,MMM,815990,0.8244376
690,2017,2,DDD,1729862,0.8777184
691,2015,5,EEE,1851360,0.8289532
692,2015,8,TTT,1105342,0.8717126
693,2015,9,YYY,688171,0.815132
694,2017,1,ZZZ,797630,0.8696084
695,2015,5,DDD,1383969,0.8438958
696,2017,10,PPP,756851,0.896354
697,2017,9,JJJ,895116,0.8362912
698,2016,12,SSS,1539183,0.822568
699,2015,12,DDD,1405218,0.8492346
700,2016,7,AAA,3780300,0.8308548
701,2016,2,HHH,673503,0.845797
702,2015,3,ZZZ,605432,0.8522246
703,2016,5,KKK,597650,0.8206152
704,2016,1,GGG,1242069,0.8316448
705,2016,12,CCC,727940,0.8597748
706,2017,6,YYY,874621,0.8418814
707,2017,5,NNN,806110,0.8571759999999999
708,2016,8,JJJ,910484,0.8683092
709,2017,7,TTT,1279728,0.8505268
710,2015,1,HHH,547073,0.8681719999999999
711,2016,10,YYY,842245,0.8523778
712,2015,2,GGG,974803,0.871934
713,2016,3,UUU,777157,0.7562562
714,2016,6,DDD,1684222,0.8790876
715,2017,2,UUU,866150,0.8307066
716,2015,4,AAA,3502777,0.8354062
717,2015,3,RRR,1621762,0.8316591999999999
718,2015,2,WWW,2685700,0.8018388000000001
719,2017,2,MMM,749305,0.8438602
